[2020-09-07 13:07:25][INFO] PIPELINE   	
[2020-09-07 13:07:34][INFO] SAVE_DATA  	Saving 'cov_mat' data at iteration 1 to HDF5.
[2020-09-07 13:07:34][INFO] S-HDF5     	Closing system HDF5-file 2.
[2020-09-07 13:07:34][INFO] SAVE_DATA  	Finished saving data to HDF5.
[2020-09-07 13:07:34][INFO] COV_MAT    	Calculating inverse of covariance matrix 1.
[2020-09-07 13:07:34][INFO] S-HDF5     	Opening system HDF5-file 1 (mode: 'r+').
[2020-09-07 13:07:34][INFO] SAVE_DATA  	Saving 'cov_mat' data at iteration 1 to HDF5.
[2020-09-07 13:07:34][INFO] S-HDF5     	Closing system HDF5-file 1.
[2020-09-07 13:07:34][INFO] SAVE_DATA  	Finished saving data to HDF5.
[2020-09-07 13:07:34][INFO] COV_MAT    	Calculating inverse of covariance matrix 0.
[2020-09-07 13:07:34][INFO] S-HDF5     	Opening system HDF5-file 0 (mode: 'r+').
[2020-09-07 13:07:34][INFO] SAVE_DATA  	Saving 'cov_mat' data at iteration 1 to HDF5.
[2020-09-07 13:07:34][INFO] S-HDF5     	Closing system HDF5-file 0.
[2020-09-07 13:07:34][INFO] SAVE_DATA  	Finished saving data to HDF5.
[2020-09-07 13:07:34][INFO] COV_MAT    	Finished calculating covariance matrix.
[2020-09-07 13:07:34][INFO] DOT_TERM   	Pre-calculating second expectation adjustment dot-term for known samples at emulator iteration 1.
[2020-09-07 13:07:34][INFO] S-HDF5     	Opening system HDF5-file 2 (mode: 'r+').
[2020-09-07 13:07:34][INFO] SAVE_DATA  	Saving 'exp_dot_term' data at iteration 1 to HDF5.
[2020-09-07 13:07:34][INFO] S-HDF5     	Closing system HDF5-file 2.
[2020-09-07 13:07:34][INFO] SAVE_DATA  	Finished saving data to HDF5.
[2020-09-07 13:07:34][INFO] S-HDF5     	Opening system HDF5-file 1 (mode: 'r+').
[2020-09-07 13:07:34][INFO] SAVE_DATA  	Saving 'exp_dot_term' data at iteration 1 to HDF5.
[2020-09-07 13:07:34][INFO] S-HDF5     	Closing system HDF5-file 1.
[2020-09-07 13:07:34][INFO] SAVE_DATA  	Finished saving data to HDF5.
[2020-09-07 13:07:34][INFO] S-HDF5     	Opening system HDF5-file 0 (mode: 'r+').
[2020-09-07 13:07:34][INFO] SAVE_DATA  	Saving 'exp_dot_term' data at iteration 1 to HDF5.
[2020-09-07 13:07:34][INFO] S-HDF5     	Closing system HDF5-file 0.
[2020-09-07 13:07:34][INFO] SAVE_DATA  	Finished saving data to HDF5.
[2020-09-07 13:07:34][INFO] DOT_TERM   	Finished pre-calculating second adjustment dot-term values.
[2020-09-07 13:07:34][INFO] M-HDF5     	Opening master HDF5-file (mode: 'r+').
[2020-09-07 13:07:34][INFO] SAVE_DATA  	Saving 'active_par' data at iteration 1 to HDF5.
[2020-09-07 13:07:34][INFO] M-HDF5     	Closing master HDF5-file.
[2020-09-07 13:07:34][INFO] SAVE_DATA  	Finished saving data to HDF5.
[2020-09-07 13:07:34][INFO] STATISTICS 	Saving statistics to HDF5.
[2020-09-07 13:07:34][INFO] M-HDF5     	Opening master HDF5-file (mode: 'r+').
[2020-09-07 13:07:34][INFO] M-HDF5     	Closing master HDF5-file.
[2020-09-07 13:07:34][INFO] M-HDF5     	Opening master HDF5-file (mode: 'r+').
[2020-09-07 13:07:34][INFO] SAVE_DATA  	Saving 'impl_sam' data at iteration 1 to HDF5.
[2020-09-07 13:07:34][INFO] SAVE_DATA  	Saving 'n_eval_sam' data at iteration 1 to HDF5.
[2020-09-07 13:07:34][INFO] M-HDF5     	Closing master HDF5-file.
[2020-09-07 13:07:34][INFO] INIT       	Setting implausibility cut-off values.
[2020-09-07 13:07:34][INFO] CHECK      	Checking compatibility of provided implausibility cut-off values.
[2020-09-07 13:07:34][INFO] INIT       	Finished setting implausibility cut-off values.
[2020-09-07 13:07:34][INFO] STATISTICS 	Saving statistics to HDF5.
[2020-09-07 13:07:34][INFO] M-HDF5     	Opening master HDF5-file (mode: 'r+').
[2020-09-07 13:07:34][INFO] M-HDF5     	Closing master HDF5-file.
[2020-09-07 13:07:34][INFO] CONSTRUCT  	Finished construction of emulator iteration in 8.59 seconds.
[2020-09-07 13:07:34][INFO] INIT       	Checking requested emulator iteration None.
[2020-09-07 13:07:34][INFO] INIT       	Requested emulator iteration set to 1.
[2020-09-07 13:07:34][INFO] ANALYZE    	Analyzing emulator iteration 1.
[2020-09-07 13:07:34][INFO] EVAL_SAMS  	Creating emulator evaluation sample set with size 2400.
[2020-09-07 13:07:34][INFO] EVAL_SAMS  	Finished creating sample set.
[2020-09-07 13:07:34][INFO] EVAL_SS    	Starting evaluation of sample set of size 2400.
[2020-09-07 13:07:34][INFO] EVAL_SS    	Analyzing evaluation sample set of size 2400 in emulator iteration 1.
[2020-09-07 13:07:37][INFO] EVAL_SS    	Finished analyzing evaluation sample set.
[2020-09-07 13:07:37][INFO] M-HDF5     	Opening master HDF5-file (mode: 'r+').
[2020-09-07 13:07:37][INFO] SAVE_DATA  	Saving 'impl_par' data at iteration 1 to HDF5.
[2020-09-07 13:07:37][INFO] SAVE_DATA  	Saving 'impl_sam' data at iteration 1 to HDF5.
[2020-09-07 13:07:37][INFO] SAVE_DATA  	Saving 'n_eval_sam' data at iteration 1 to HDF5.
[2020-09-07 13:07:37][INFO] M-HDF5     	Closing master HDF5-file.
[2020-09-07 13:07:37][INFO] STATISTICS 	Saving statistics to HDF5.
[2020-09-07 13:07:37][INFO] M-HDF5     	Opening master HDF5-file (mode: 'r+').
[2020-09-07 13:07:37][INFO] M-HDF5     	Closing master HDF5-file.
[2020-09-07 13:07:37][INFO] ANALYZE    	Finished analysis of emulator iteration in 3.24 seconds, averaging 745.10 emulator evaluations per second.
[2020-09-07 13:07:37][INFO] ANALYZE    	There is 30.7% of parameter space remaining.
[2020-09-07 13:07:37][INFO] DETAILS    	Collecting details about current pipeline instance.
[2020-09-07 13:07:37][INFO] INIT       	Checking requested emulator iteration None.
[2020-09-07 13:07:37][INFO] INIT       	Requested emulator iteration set to 1.
[2020-09-07 13:07:37][INFO] M-HDF5     	Opening master HDF5-file (mode: 'r').
[2020-09-07 13:07:37][INFO] M-HDF5     	Closing master HDF5-file.
[2020-09-07 13:07:37][INFO] DETAILS    	Finished collecting details about current pipeline instance.
[2020-09-07 13:07:37][INFO] PROJECTION 	Starting the projection process.
[2020-09-07 13:07:37][INFO] PROJ_INIT  	Processing input arguments.
[2020-09-07 13:07:37][INFO] INIT       	Checking requested emulator iteration None.
[2020-09-07 13:07:37][INFO] INIT       	Requested emulator iteration set to 1.
[2020-09-07 13:07:37][INFO] PROJ_INIT  	Finished processing input arguments.
[2020-09-07 13:07:37][INFO] M-HDF5     	Opening master HDF5-file (mode: 'r+').
[2020-09-07 13:07:37][INFO] M-HDF5     	Closing master HDF5-file.
[2020-09-07 13:07:37][INFO] INIT       	Setting projection parameters.
[2020-09-07 13:07:37][INFO] INIT       	Checking compatibility of provided projection parameters.
[2020-09-07 13:07:37][INFO] INIT       	Finished setting projection parameters.
[2020-09-07 13:07:37][INFO] PROJECTION 	Checking if projection data already exists.
[2020-09-07 13:07:37][INFO] M-HDF5     	Opening master HDF5-file (mode: 'r').
[2020-09-07 13:07:37][INFO] PROJECTION 	Projection data '1|A1' not found. Will be created.
[2020-09-07 13:07:37][INFO] PROJECTION 	Projection data '1|B1' not found. Will be created.
[2020-09-07 13:07:37][INFO] PROJECTION 	Projection data '1|C1' not found. Will be created.
[2020-09-07 13:07:37][INFO] PROJECTION 	Projection data '1|A1-B1' not found. Will be created.
[2020-09-07 13:07:37][INFO] PROJECTION 	Projection data '1|A1-C1' not found. Will be created.
[2020-09-07 13:07:37][INFO] PROJECTION 	Projection data '1|B1-C1' not found. Will be created.
[2020-09-07 13:07:37][INFO] M-HDF5     	Closing master HDF5-file.
[2020-09-07 13:07:37][INFO] PROJECTION 	Calculating projection data '1|A1'.
[2020-09-07 13:07:37][INFO] ANALYSIS   	Analyzing projection hypercube '1|A1'.
[2020-09-07 13:07:37][INFO] PROJ_HCUBE 	Creating projection hypercube '1|A1'.
[2020-09-07 13:07:37][INFO] PROJ_HCUBE 	Finished creating projection hypercube '1|A1'.
[2020-09-07 13:07:37][INFO] EVAL_SS    	Starting evaluation of sample set of size 156250.
[2020-09-07 13:07:37][INFO] EVAL_SS    	Analyzing evaluation sample set of size 156250 in emulator iteration 1.
[2020-09-07 13:12:26][ERROR] CHECK      	Input argument "data_err['Come']" is not of type 'float'!
